key,provisional_key,source,entry_type
art0001,cinii_supp-000001,cinii_supp,article
art0002,cinii_supp-000002,cinii_supp,article
art0003,cinii_supp-000003,cinii_supp,article
art0004,cinii_supp-000004,cinii_supp,article
art0005,cinii_supp-000005,cinii_supp,article
art0006,cinii_supp-000006,cinii_supp,article
art0007,cinii_supp-000007,cinii_supp,article
art0008,cinii_supp-000008,cinii_supp,article
art0009,cinii_supp-000009,cinii_supp,article
art0010,cinii_supp-000010,cinii_supp,article
art0011,cinii_supp-000011,cinii_supp,article
art0012,cinii_supp-000012,cinii_supp,article
art0013,cinii_supp-000013,cinii_supp,article
art0014,cinii_supp-000014,cinii_supp,article
art0015,cinii_supp-000015,cinii_supp,article
art0016,cinii_supp-000016,cinii_supp,article
art0017,cinii_supp-000017,cinii_supp,article
art0018,cinii_supp-000018,cinii_supp,article
art0019,cinii_supp-000019,cinii_supp,article
art0020,cinii_supp-000020,cinii_supp,article
art0021,cinii_supp-000021,cinii_supp,article
art0022,cinii_supp-000022,cinii_supp,article
art0023,cinii_supp-000023,cinii_supp,article
art0024,cinii_supp-000024,cinii_supp,article
art0025,cinii_supp-000025,cinii_supp,article
art0026,cinii_supp-000026,cinii_supp,article
art0027,cinii_supp-000027,cinii_supp,article
art0028,cinii_supp-000028,cinii_supp,article
art0029,cinii_supp-000029,cinii_supp,article
art0030,cinii_supp-000030,cinii_supp,article
art0031,cinii_supp-000031,cinii_supp,article
art0032,cinii_supp-000032,cinii_supp,article
art0033,cinii_supp-000033,cinii_supp,article
art0034,cinii_supp-000034,cinii_supp,article
art0035,cinii_supp-000035,cinii_supp,article
art0036,cinii_supp-000036,cinii_supp,article
art0037,cinii_supp-000037,cinii_supp,article
art0038,cinii_supp-000038,cinii_supp,article
art0039,cinii_supp-000039,cinii_supp,article
art0040,cinii_supp-000040,cinii_supp,article
art0041,crossref-000001,crossref,article
art0042,crossref-000002,crossref,article
art0043,crossref-000003,crossref,article
art0044,crossref-000004,crossref,article
art0045,crossref-000005,crossref,article
art0046,crossref-000006,crossref,article
art0047,crossref-000007,crossref,article
art0048,crossref-000008,crossref,article
art0049,crossref-000009,crossref,article
art0050,crossref-000010,crossref,article
art0051,crossref-000011,crossref,article
art0052,crossref-000012,crossref,article
art0053,crossref-000013,crossref,article
art0054,crossref-000014,crossref,article
art0055,crossref-000015,crossref,article
art0056,crossref-000016,crossref,article
art0057,crossref-000017,crossref,article
art0058,crossref-000018,crossref,article
art0059,crossref-000019,crossref,article
art0060,crossref-000020,crossref,article
art0061,crossref-000021,crossref,article
art0062,crossref-000022,crossref,article
art0063,crossref-000023,crossref,article
art0064,crossref-000024,crossref,article
art0065,crossref-000025,crossref,article
art0066,crossref-000026,crossref,article
art0067,crossref-000027,crossref,article
art0068,crossref-000028,crossref,article
art0069,crossref-000029,crossref,article
art0070,crossref-000030,crossref,article
art0071,crossref-000031,crossref,article
art0072,crossref-000032,crossref,article
art0073,crossref-000033,crossref,article
art0074,crossref-000034,crossref,article
art0075,crossref-000035,crossref,article
art0076,crossref-000036,crossref,article
art0077,crossref-000037,crossref,article
art0078,crossref-000038,crossref,article
art0079,crossref-000039,crossref,article
art0080,crossref-000042,crossref,article
art0081,crossref-000043,crossref,article
art0082,crossref-000045,crossref,article
art0083,crossref-000046,crossref,article
art0084,crossref-000047,crossref,article
art0085,crossref-000048,crossref,article
art0086,crossref-000049,crossref,article
art0087,crossref-000050,crossref,article
art0088,crossref-000051,crossref,article
art0089,crossref-000052,crossref,article
art0090,crossref-000053,crossref,article
art0091,crossref-000054,crossref,article
art0092,crossref-000055,crossref,article
art0093,crossref-000056,crossref,article
art0094,crossref-000057,crossref,article
art0095,crossref-000058,crossref,article
art0096,crossref-000059,crossref,article
art0097,crossref-000060,crossref,article
art0098,jstage-000001,jstage,article
art0099,jstage-000002,jstage,article
art0100,jstage-000003,jstage,article
art0101,jstage-000004,jstage,article
art0102,jstage-000005,jstage,article
art0103,jstage-000006,jstage,article
art0104,jstage-000007,jstage,article
art0105,jstage-000008,jstage,article
art0106,jstage-000009,jstage,article
art0107,jstage-000010,jstage,article
art0108,jstage-000011,jstage,article
art0109,jstage-000012,jstage,article
art0110,jstage-000013,jstage,article
art0111,jstage-000014,jstage,article
art0112,jstage-000015,jstage,article
art0113,jstage-000016,jstage,article
art0114,jstage-000017,jstage,article
art0115,jstage-000018,jstage,article
art0116,jstage-000020,jstage,article
art0117,jstage-000021,jstage,article
art0118,jstage-000022,jstage,article
art0119,jstage-000023,jstage,article
art0120,jstage-000024,jstage,article
art0121,jstage-000025,jstage,article
art0122,jstage-000026,jstage,article
art0123,jstage-000027,jstage,article
art0124,jstage-000028,jstage,article
art0125,jstage-000029,jstage,article
art0126,jstage-000030,jstage,article
art0127,jstage-000031,jstage,article
art0128,jstage-000032,jstage,article
art0129,jstage-000033,jstage,article
art0130,jstage-000034,jstage,article
art0131,jstage-000035,jstage,article
art0132,jstage-000036,jstage,article
art0133,jstage-000037,jstage,article
art0134,jstage-000038,jstage,article
art0135,jstage-000039,jstage,article
art0136,jstage-000040,jstage,article
art0137,jstage-000041,jstage,article
art0138,jstage-000042,jstage,article
art0139,jstage-000043,jstage,article
art0140,jstage-000044,jstage,article
art0141,jstage-000045,jstage,article
art0142,jstage-000046,jstage,article
art0143,jstage-000047,jstage,article
art0144,jstage-000048,jstage,article
art0145,jstage-000049,jstage,article
art0146,jstage-000050,jstage,article
art0147,jstage-000051,jstage,article
art0148,jstage-000052,jstage,article
art0149,jstage-000053,jstage,article
art0150,jstage-000054,jstage,article
art0151,jstage-000055,jstage,article
art0152,jstage-000056,jstage,article
art0153,jstage-000057,jstage,article
art0154,jstage-000058,jstage,article
art0155,jstage-000059,jstage,article
art0156,jstage-000060,jstage,article
art0157,jstage-000061,jstage,article
art0158,jstage-000062,jstage,article
art0159,jstage-000063,jstage,article
art0160,jstage-000064,jstage,article
art0161,jstage-000065,jstage,article
art0162,jstage-000066,jstage,article
art0163,jstage-000067,jstage,article
art0164,jstage-000068,jstage,article
art0165,jstage-000069,jstage,article
art0166,jstage-000070,jstage,article
art0167,jstage-000071,jstage,article
art0168,jstage-000072,jstage,article
art0169,jstage-000073,jstage,article
art0170,jstage-000074,jstage,article
art0171,jstage-000075,jstage,article
art0172,jstage-000076,jstage,article
art0173,jstage-000077,jstage,article
art0174,jstage-000078,jstage,article
art0175,jstage-000079,jstage,article
art0176,jstage-000080,jstage,article
art0177,jstage-000081,jstage,article
